,0,1,2,3
16.3,8.723314786,9.05480819,9.056128755,9.247607369
16.4,9.069380752,11.16739162,10.02678857,10.02807929
16.5,7.634146549,7.196697336,6.213389212,7.547500022
16.6,8.004212394,7.924832981,7.932073523,7.934057372
16.7,8.600990568,8.245242246,8.244277868,44.78742605
16.8,10.27541677,10.03091949,10.27609391,10.27466168
16.9,10.87406708,10.65576891,10.95924381,10.95498403
17,11.26524702,11.82331962,11.71972155,30.8377979
17.1,9.970580571,9.972215642,10.09937813,9.398306999
17.2,10.20349976,12.01928683,10.37183755,10.47041338
17.3,23.24772212,14.28761811,24.60383902,20.81496332
17.4,15.01313748,14.93033642,15.97291711,15.96431761
17.5,15.74250028,15.72657798,15.64816215,16.99286887
17.6,14.02454756,13.4822106,13.77194917,14.03252106
17.7,15.87716334,15.86630203,15.87130471,15.31902418
17.8,68.59295141,13.78165898,13.77388518,13.77869575
17.9,20.16104033,20.49959634,20.49542152,19.47044509
18,39.21860415,16.15807703,14.68707918,17.06657966
18.1,40.1535396,21.482283,14.3731788,19.26280567
18.2,24.81149032,25.28078788,23.69475478,26.34609968
18.3,13.69562555,14.97338054,9.860910122,14.9667579
18.4,18.50292766,18.49483554,18.56870794,18.49670373
18.5,19.43875959,13.70001535,17.76249475,14.72851593
18.6,8.219301555,16.19617654,12.36319566,12.36347357
18.7,24.18269792,22.53552532,24.18234576,19.83519388
18.8,24.28992077,21.28919672,24.8009449,24.54890072
18.9,21.22464352,21.2171095,21.22366501,19.62673074
19,25.84757428,25.79729191,24.5899606,25.78115141
19.1,28.4222782,20.73499368,24.38101943,26.13002427
19.2,22.27641949,97.93067804,17.80008984,22.26596299
19.3,24.18788413,21.74543186,24.18825429,23.43251331
19.4,18.77320877,20.37847539,20.38170723,21.31076594
19.5,25.33753525,25.3317966,25.33538595,26.41422786
19.6,25.02393605,74.4480741,31.98785957,102.9437076
19.7,89.64920325,33.06993664,35.89446287,30.85781581
19.8,26.22169991,26.15327877,26.14779542,30.97674692
19.9,43.39223209,43.39742648,40.21504262,25.98842266
20,29.27281693,29.26415734,28.40244544,29.25736514
20.1,27.44922364,24.13844511,24.12433367,31.95072425
20.2,29.18192282,29.16868334,29.92892904,29.17140043
20.3,25.82330065,25.82195199,25.5509428,26.03287236
20.4,29.01613962,28.66706776,29.0035899,28.81127772
20.5,28.61177319,26.0382614,26.04063511,26.02613928
20.6,32.91777229,33.21874168,33.19307447,32.34156806
20.7,30.3031278,30.29537494,156.2002946,30.30062249
20.8,39.76306595,38.13699078,35.65342613,37.44300611
20.9,32.36394104,40.67737864,42.23718479,29.94252931
21,29.46918451,29.46144521,29.44879147,33.98665848
21.1,55.32439087,52.34972313,32.33477632,38.64078596
21.2,29.65286986,191.1563785,41.12738024,41.12262592
21.3,37.13006205,19.1022166,36.83875332,37.72595909
21.4,76.26048388,96.11803954,73.84798277,66.2920297
21.5,31.72155104,31.50397576,31.49549534,31.49416903
21.6,270.9202318,57.59040792,30.10668948,27.93194482
21.7,39.69085044,42.84769612,42.16465329,43.36676023
21.8,24.62968003,24.6269938,24.71751278,24.63296631
21.9,31.49608924,50.89167037,60.80814314,39.61645051
